player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Sue,0.25,0.5833333333,,,,,,3.0,,0.0,3.0,0.0,1.0,4.0,0.25,1,6
Sean,0.25,0.5833333333,,,,,,3.0,,0.0,3.0,0.0,1.0,4.0,0.25,1,6
Colleen,0.0,0.5833333333,2.0,1.0,,6.0,1.0,3.0,,,3.0,0.0,,4.0,0.0,1,6
Gervase,0.3333333333,0.5833333333,1.0,0.0,,6.0,1.0,3.0,,1.0,3.0,0.3333333333,,4.0,0.0,1,6
Jenna,0.3333333333,0.5833333333,,1.0,2.0,6.0,1.0,3.0,,1.0,3.0,0.3333333333,0.0,4.0,0.0,1,6
Greg,0.0,0.5833333333,1.0,1.0,,6.0,1.0,3.0,,,3.0,0.0,0.0,4.0,0.0,1,6
Gretchen,0.3333333333,0.5833333333,,1.0,,6.0,1.0,3.0,,1.0,3.0,0.3333333333,0.0,4.0,0.0,1,6
Joel,0.0,0.5833333333,1.0,0.0,4.0,6.0,1.0,3.0,,,3.0,0.0,0.0,4.0,0.0,1,6
Richard,0.0,0.5,,1.0,,6.0,1.0,3.0,,0.0,3.0,0.0,0.0,6.0,0.0,1,5
Kelly W,0.0,0.5,1.0,1.0,,6.0,1.0,3.0,,,3.0,0.0,0.0,6.0,0.0,1,5
Rudy,0.0,0.5,1.0,1.0,1.0,6.0,1.0,3.0,,,3.0,0.0,0.0,6.0,0.0,1,5
Sue,0.0,0.5,,1.0,1.0,6.0,1.0,3.0,,0.0,3.0,0.0,0.0,6.0,0.0,1,5
Sean,0.0,0.5,,0.0,,6.0,1.0,3.0,,0.0,3.0,0.0,0.0,6.0,0.0,1,5
Colleen,0.1666666667,0.5,1.0,,,,,3.0,,,3.0,0.0,1.0,6.0,0.1666666667,1,5
Gervase,0.1666666667,0.5,1.0,,,,,3.0,,,3.0,0.0,1.0,6.0,0.1666666667,1,5
Jenna,0.5,0.5,,,,,,3.0,,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,1,5
