season,episode,player_name,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
1,4,Colleen,0,3.0,0.0,1.0,2.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,2.0,2.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Dirk,1,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,2.0,0.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,4,Gervase,0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,1.0,0.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Greg,0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Gretchen,0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,2.0,0.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Jenna,0,3.0,0.0,1.0,1.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,2.0,1.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Joel,0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,0.3095238095,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,2.0,0.0,15.0,2.0,0.3928571429,0.9880952381000001,0.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Kelly W,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,0.0,0.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,4,Ramona,0,3.0,0.0,0.0,4.0,7.0,1.0,0.0,0.3095238095,1.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,1.0,6.0,15.0,2.0,0.3928571429,0.9880952381000001,1.0,2.0,30.0,0.25,1.0,21.0,0.1428571429
1,4,Richard,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,1.0,0.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,4,Rudy,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,2.0,5.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,4,Sean,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,2.0,0.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,4,Sue,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.3333333333,0.0,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,12.0,0.0,2.0,0.0,15.0,2.0,0.6190476191000001,1.0119047619,0.0,2.0,28.0,0.30952380960000003,2.0,20.0,0.30952380960000003
1,5,Colleen,0,3.0,0.0,0.0,0.0,0.0,0.0,0.1666666667,0.5,1.0,0.0,3.0,0.0,1.0,6.0,0.1666666667,15.0,0.0,2.0,2.0,15.0,2.0,0.5595238096,1.4880952381,1.0,2.0,33.0,0.25,2.0,27.0,0.30952380960000003
1,5,Dirk,0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,0.5,1.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,2.0,4.0,21.0,3.0,0.6190476191000001,1.5119047619,1.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,5,Gervase,0,3.0,0.0,0.0,0.0,0.0,0.0,0.1666666667,0.5,1.0,0.0,3.0,0.0,1.0,6.0,0.1666666667,15.0,0.0,1.0,0.0,15.0,2.0,0.5595238096,1.4880952381,1.0,2.0,33.0,0.25,2.0,27.0,0.30952380960000003
1,5,Greg,0,3.0,0.0,0.0,0.0,0.0,0.0,0.1666666667,0.5,1.0,0.0,3.0,0.0,1.0,6.0,0.1666666667,15.0,0.0,0.0,0.0,15.0,2.0,0.5595238096,1.4880952381,1.0,2.0,33.0,0.25,2.0,27.0,0.30952380960000003
1,5,Gretchen,0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,15.0,0.0,2.0,0.0,15.0,2.0,0.8928571429000001,1.4880952381,0.0,3.0,33.0,0.5833333332999999,2.0,27.0,0.30952380960000003
1,5,Jenna,0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,15.0,0.0,2.0,1.0,15.0,2.0,0.8928571429000001,1.4880952381,0.0,3.0,33.0,0.5833333332999999,2.0,27.0,0.30952380960000003
1,5,Joel,1,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,15.0,0.0,2.0,0.0,15.0,2.0,0.8928571429000001,1.4880952381,0.0,3.0,33.0,0.5833333332999999,2.0,27.0,0.30952380960000003
1,5,Kelly W,0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.5,1.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,1.0,0.0,21.0,3.0,0.6190476191000001,1.5119047619,1.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,5,Richard,0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,2.0,0.0,21.0,3.0,0.6190476191000001,1.5119047619,0.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,5,Rudy,0,3.0,0.0,1.0,1.0,6.0,1.0,0.0,0.5,1.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,3.0,6.0,21.0,3.0,0.6190476191000001,1.5119047619,1.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,5,Sean,0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,2.0,0.0,21.0,3.0,0.6190476191000001,1.5119047619,0.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,5,Sue,0,3.0,0.0,1.0,1.0,6.0,1.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,6.0,0.0,15.0,0.0,3.0,1.0,21.0,3.0,0.6190476191000001,1.5119047619,0.0,2.0,31.0,0.30952380960000003,2.0,26.0,0.30952380960000003
1,6,Colleen,0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.5833333333,2.0,0.0,3.0,0.0,0.0,4.0,0.0,18.0,0.0,3.0,2.0,21.0,3.0,0.5595238096,2.0714285714000003,3.0,2.0,36.0,0.25,2.0,31.0,0.30952380960000003
1,6,Gervase,0,3.0,0.0,0.0,0.0,6.0,1.0,0.3333333333,0.5833333333,1.0,1.0,3.0,0.3333333333,0.0,4.0,0.0,18.0,0.0,1.0,0.0,21.0,3.0,0.8928571429,2.0714285714000003,2.0,3.0,36.0,0.5833333332999999,2.0,31.0,0.30952380960000003
1,6,Greg,0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.5833333333,1.0,0.0,3.0,0.0,0.0,4.0,0.0,18.0,0.0,1.0,0.0,21.0,3.0,0.5595238096,2.0714285714000003,2.0,2.0,36.0,0.25,2.0,31.0,0.30952380960000003
